Topic,Count,Name,Representation,Representative_Docs,pos_ratio,emotional_ratio,top_0_sentiment,top_1_sentiment,top_2_sentiment,top_0_emotion,top_1_emotion,top_2_emotion,top_0_intent,top_1_intent,top_2_intent,top_0_hashtags,top_1_hashtags,top_2_hashtags,top_3_hashtags,top_4_hashtags,top_0_emojis,top_1_emojis,top_2_emojis,top_3_emojis,top_4_emojis,top_0_ner,top_1_ner,top_2_ner,top_3_ner,top_4_ner
11,12161,11_um_uh__,"['um', 'uh', '', '', '', '', '', '', '', '']",,0.7142857142857143,0.35353535353535354,Neutral,Positive,Negative,Neutral,Admiration,Joy,Informational,Opinion_sharing,Promotional,#AI,#MachineLearning,#DataScience,#BigData,#IoT,😂,🙏,📱,📲,👍,AI,BigData,AI #,🙏,#MachineLearning #
12,12893,12_mypov_disruptv_vimeo_join,"['mypov', 'disruptv', 'vimeo', 'join', 'episode', 'day', 'svlife', 'time', 'fun', 'today']",,0.6774193548387096,0.31313131313131315,Neutral,Positive,Negative,Neutral,Admiration,Joy,Informational,Opinion_sharing,Entertaining,#AI,#IoT,#MachineLearning,#BigData,#ArtificialIntelligence,🙏,😂,👍,😄,👏,BigData,AI,#MachineLearning #,Apple,Google
13,16863,13_yes_yep_lol_exactly,"['yes', 'yep', 'lol', 'exactly', 'ha', 'oh', 'yup', 'nope', 'unroll', 'yeah']",,0.6756756756756757,0.37,Neutral,Positive,Negative,Neutral,Admiration,Joy,Informational,Opinion_sharing,Promotional,#AI,#CX,#customerexperience,#customerservice,#IoT,😂,😉,👏,😄,🙏,AI,Amazing Business Radio,Amazon,BigData,American
14,11309,14_innovation_technology_robotics_tech,"['innovation', 'technology', 'robotics', 'tech', 'drones', 'ar', 'drone', 'vr', 'cc', 'futureofwork']",,0.7142857142857143,0.35353535353535354,Neutral,Positive,Negative,Neutral,Admiration,Joy,Informational,Opinion_sharing,Promotional,#AI,#ArtificialIntelligence,#MachineLearning,#BigData,#DataScience,💫,🙏,🎥,👍,😄,AI,BigData,#MachineLearning #,🙏,Amazon
15,14584,15_covid19_covid_pandemic_vaccine,"['covid19', 'covid', 'pandemic', 'vaccine', 'coronavirus', 'cases', 'vaccinated', 'vaccines', 'people', 'mypov']",,0.6857142857142857,0.35,Neutral,Positive,Negative,Neutral,Admiration,Joy,Informational,Opinion_sharing,Promotional,#AI,#MachineLearning,#IoT,#DataScience,#BigData,😂,😁,👍,🙏,📱,AI,🙏,BigData,Apple,CTO
16,10335,16_digitaltransformation_digital_365_powerapps,"['digitaltransformation', 'digital', '365', 'powerapps', 'dynamics', 'microsoft', 'transformation', 'news', 'cloud', 'technology']",,0.7714285714285714,0.35000000000000003,Neutral,Positive,Negative,Neutral,Admiration,Joy,Informational,Opinion_sharing,Promotional,#AI,#IoT,#DataScience,#BigData,#MachineLearning,😂,🙏,😄,😎,👏,AI,Digital Transformation,Innovation & Analytics News,GoLang #CloudComputing #Serverless,BigData
17,12810,17_ai_cc_artificialintelligence_ethics,"['ai', 'cc', 'artificialintelligence', 'ethics', 'aiethics', 'machinelearning', 'ml', 'artificial', 'intelligence', 'ethical']",,0.7083333333333334,0.24000000000000002,Neutral,Positive,Negative,Neutral,Admiration,Joy,Informational,Promotional,Opinion_sharing,#AI,#MachineLearning,#BigData,#DataScience,#IoT,💥,👇,😄,🙏,😂,AI,Forbes,BigData,SocialMedia,#MachineLearning #
18,10528,18_transformation_digital_digitaltransformation_business,"['transformation', 'digital', 'digitaltransformation', 'business', 'technology', 'companies', 'strategy', 'cio', 'innovation', 'tech']",,0.689655172413793,0.29000000000000004,Neutral,Positive,Negative,Neutral,Admiration,Joy,Informational,Opinion_sharing,Promotional,#AI,#IoT,#DataScience,#BigData,#MachineLearning,😄,😂,🙏,🤣,😁,BigData #Analytics,GoLang #CloudComputing #Serverless,AI,#BigData #Analytics,BigData
19,9610,19_peopleskillschat_rt_quotes_people,"['peopleskillschat', 'rt', 'quotes', 'people', 'a1', 'a2', 'topic', 'skills', 'a6', 'empathy']",,0.6666666666666666,0.33,Neutral,Positive,Negative,Neutral,Admiration,Joy,Informational,Opinion_sharing,Promotional,#futureofwork,#futuretrends,#futurejobs,#keynotespeaker,#futuriststrategy,🙏,😄,💜,👏,😂,AI,BigData,Amazon,🙏,#MachineLearning #
20,12233,20_ai_data_datascience_bigdata,"['ai', 'data', 'datascience', 'bigdata', 'machinelearning', 'analytics', 'modelops', 'digitaltransformation', 'business', 'intelligence']",,0.7692307692307693,0.26,Neutral,Positive,Negative,Neutral,Admiration,Joy,Informational,Promotional,Opinion_sharing,#AI,#DataScience,#MachineLearning,#BigData,#IoT,🙏,💥,🌟,👉,➕,BigData,AI,#MachineLearning #,BigData #Analytics,GoLang #CloudComputing #Serverless
21,11125,21_people_history_like_just,"['people', 'history', 'like', 'just', 'think', 'world', 'know', 'dont', 'political', 'really']",,0.6842105263157895,0.38,Neutral,Positive,Negative,Neutral,Admiration,Joy,Informational,Opinion_sharing,Promotional,#AI,#MachineLearning,#IoT,#5G,#DigitalTransformation,🙏,😎,📲,📱,😉,AI,🙏,Trump,BigData,Apple
22,17555,22_im_love_know_like,"['im', 'love', 'know', 'like', 'thats', 'dont', 'just', 'oh', 'did', 'said']",,0.6857142857142857,0.3465346534653465,Neutral,Positive,Negative,Neutral,Admiration,Joy,Informational,Opinion_sharing,Promotional,#AI,#MachineLearning,#IoT,#BigData,#ArtificialIntelligence,😂,😄,😉,🙏,™,AI,BigData,Apple,#MachineLearning #,🙏
23,12663,23_companies_business_company_retail,"['companies', 'business', 'company', 'retail', 'marketing', 'consumers', 'investors', 'market', 'customers', 'startups']",,0.7058823529411765,0.3366336633663366,Neutral,Positive,Negative,Neutral,Admiration,Joy,Informational,Opinion_sharing,Promotional,#AI,#MachineLearning,#DigitalTransformation,#IoT,#DataScience,🙏,™,👍,😉,💡,AI,🙏,Apple,Amazon,WomenInTech
24,11882,24_caturday_saturdayvibes_boston_fridayfeeling,"['caturday', 'saturdayvibes', 'boston', 'fridayfeeling', 'spreadlovenothate', 'saturdaythoughts', 'birdtwitter', 'fridayfun', 'ces2023', 'thursdayvibes']",,0.7666666666666666,0.30000000000000004,Neutral,Positive,Negative,Neutral,Admiration,Joy,Informational,Promotional,Entertaining,#AI,#IoT,#MachineLearning,#BigData,#ArtificialIntelligence,💫,🙏,🎥,😂,👍,AI,BigData,#MachineLearning #,CFO,CTO
25,14372,25_cybersecurity_security_privacy_data,"['cybersecurity', 'security', 'privacy', 'data', 'breach', 'ccronaldvanloon', 'technology', 'hackers', 'socialmedia', 'twitter']",,0.7096774193548387,0.31,Neutral,Positive,Negative,Neutral,Admiration,Joy,Informational,Opinion_sharing,Promotional,#AI,#IoT,#MachineLearning,#DataScience,#BigData,😄,😂,🙏,😎,😉,AI,GoLang #CloudComputing #Serverless,BigData #Analytics,#BigData #Analytics,Amazon
26,14128,26_pls_yes_dear_post,"['pls', 'yes', 'dear', 'post', 'wordle', 'oh', 'wow', 'postsonumonika', 'lol', 'like']",,0.71875,0.32,Neutral,Positive,Negative,Neutral,Admiration,Joy,Informational,Promotional,Opinion_sharing,#AI,#MachineLearning,#BigData,#DataScience,#IoT,🙏,👍,🌻,™,😂,BigData,AI,#MachineLearning #,🙏,Apple
27,10576,27_captionhashtag_captions_captionthis_hashtag,"['captionhashtag', 'captions', 'captionthis', 'hashtag', 'competitor', 'begin', 'futuretrends', 'futuriststrategy', 'futurejobs', 'keynotespeaker']",,0.7352941176470589,0.33999999999999997,Neutral,Positive,Negative,Neutral,Admiration,Joy,Informational,Opinion_sharing,Promotional,#AI,#MachineLearning,#IoT,#DataScience,#BigData,🙏,😄,👍,😂,😉,BigData,AI,#MachineLearning #,Microsoft Dynamics 365 News,Todays CIO News
28,11516,28_learning_neural_quantum_models,"['learning', 'neural', 'quantum', 'models', 'scientists', 'deep', 'like', 'model', 'machine', 'brain']",,0.638888888888889,0.36363636363636365,Neutral,Positive,Negative,Neutral,Admiration,Joy,Informational,Opinion_sharing,Promotional,#AI,#MachineLearning,#IoT,#DataScience,#DigitalTransformation,😄,📲,📱,👉,😂,AI,BigData,Trump,Forbes,Google
29,10814,29_forward_podcast_join_great,"['forward', 'podcast', 'join', 'great', 'excited', 'live', 'looking', 'week', 'im', 'love']",,0.676470588235294,0.34,Neutral,Positive,Negative,Neutral,Admiration,Joy,Informational,Opinion_sharing,Promotional,#AI,#MachineLearning,#IoT,#DigitalTransformation,#DataScience,😄,🙏,™,👍,😂,AI,BigData,#MachineLearning #,Apple,🙏
30,14504,30_machinelearning_deeplearning_datascience_datascientists,"['machinelearning', 'deeplearning', 'datascience', 'datascientists', 'ai', 'cc', 'algorithms', 'python', 'learning', '100daysofcode']",,0.76,0.24752475247524752,Neutral,Positive,Negative,Neutral,Admiration,Joy,Informational,Promotional,Opinion_sharing,#AI,#MachineLearning,#DataScience,#BigData,#IoT,💥,🙏,🌟,👉,😊,Forbes,BigData,AI,SocialMedia,CyberSecurity
31,12208,31_apple_new_launch_headset,"['apple', 'new', 'launch', 'headset', 'year', 'atmos', 'buy', 'bought', 'tv', 'music']",,0.7096774193548387,0.31,Neutral,Positive,Negative,Neutral,Admiration,Joy,Informational,Opinion_sharing,Promotional,#AI,#MachineLearning,#DataScience,#DeepLearning,#IoT,💡,😉,😂,😄,👍🏻,AI,BigData,Amazon,Apple,Google
32,12471,32_climate_energy_climatechange_sustainability,"['climate', 'energy', 'climatechange', 'sustainability', 'environment', 'renewables', 'carbon', 'economic', 'economy', 'global']",,0.6857142857142857,0.35,Neutral,Positive,Negative,Neutral,Admiration,Joy,Informational,Opinion_sharing,Promotional,#AI,#MachineLearning,#DataScience,#BigData,#IoT,🙏,💫,👉,😂,👍,AI,BigData,Apple,Amazon,Google
33,8516,33_ukraine_russia_russian_ukrainian,"['ukraine', 'russia', 'russian', 'ukrainian', 'putin', 'traitor', 'worldcup', 'covid19', 'people', 'country']",,0.6875,0.32,Neutral,Positive,Negative,Neutral,Admiration,Joy,Informational,Opinion_sharing,Promotional,#AI,#ArtificialIntelligence,#MachineLearning,#BigData,#IoT,😂,🙏,™,🎥,😄,AI,Google,BigData,Apple,🙏
34,12123,34_fashion_sustainability_innovation_lifestyle,"['fashion', 'sustainability', 'innovation', 'lifestyle', 'ev', 'sdgs', 'electric', 'energy', 'mobility', 'marketing']",,0.6857142857142857,0.35,Neutral,Positive,Negative,Neutral,Admiration,Joy,Informational,Opinion_sharing,Promotional,#AI,#MachineLearning,#IoT,#BigData,#DataScience,💫,🙏,🎥,😂,👍,AI,BigData,#MachineLearning #,Apple,Google
35,6936,35_work_peopleskillschat_people_empathy,"['work', 'peopleskillschat', 'people', 'empathy', 'success', 'relationships', 'want', 'tips', 'dont', 'experience']",,0.696969696969697,0.33,Neutral,Positive,Negative,Neutral,Admiration,Joy,Informational,Opinion_sharing,Promotional,#AI,#MachineLearning,#DigitalTransformation,#IoT,#5G,🙏,™,😄,📱,📲,AI,BigData,🙏,WomenInTech,Apple
36,9600,36_ai_deeplearning_nlp_artificial,"['ai', 'deeplearning', 'nlp', 'artificial', 'intelligence', 'machinelearning', '100daysofcode', 'artificialintelligence', 'robots', 'read']",,0.7307692307692307,0.26,Neutral,Positive,Negative,Neutral,Admiration,Joy,Informational,Promotional,Opinion_sharing,#AI,#MachineLearning,#DataScience,#BigData,#IoT,💥,🙏,😂,👉,😄,BigData,#MachineLearning #,AI,Forbes,SocialMedia
37,16256,37_trump_people_russian_putin,"['trump', 'people', 'russian', 'putin', 'just', 'dont', 'president', 'gop', 'coup', 'fbi']",,0.6666666666666666,0.39,Neutral,Positive,Negative,Neutral,Admiration,Joy,Opinion_sharing,Informational,Question_query,#AI,#ArtificialIntelligence,#MachineLearning,#IoT,#BigData,😂,😁,📲,📱,😉,AI,Trump,BigData,🙏,Google
38,10227,38_data_google_search_open,"['data', 'google', 'search', 'open', 'software', 'source', 'web', 'people', 'better', 'think']",,0.6486486486486487,0.37,Neutral,Positive,Negative,Neutral,Admiration,Joy,Informational,Opinion_sharing,Question_query,#AI,#MachineLearning,#DigitalTransformation,#IoT,#5G,😄,😉,🙏,😂,📲,AI,BigData,🙏,Apple,Google
39,9696,39_automation_ai_robot_cc,"['automation', 'ai', 'robot', 'cc', 'robotics', 'robots', 'digitaltransformation', 'robotic', 'rpa', 'tech']",,0.7142857142857143,0.2828282828282829,Neutral,Positive,Negative,Neutral,Admiration,Joy,Informational,Opinion_sharing,Promotional,#AI,#MachineLearning,#DataScience,#BigData,#IoT,😂,😄,🙏,🤣,👉,AI,BigData,BigData #Analytics,Forbes,GoLang #CloudComputing #Serverless
40,15230,40_5g_ccronaldvanloon_security_network,"['5g', 'ccronaldvanloon', 'security', 'network', 'wireless', 'mobile', 'samsung', 'ccladyhalcon2012', 'ccpaulapiccard', 'galaxy']",,0.7391304347826088,0.23,Neutral,Positive,Negative,Neutral,Admiration,Joy,Informational,Promotional,Opinion_sharing,#IoT,#AI,#DataScience,#Python,#BigData,🤣,😂,🙏,👍,™,GoLang #CloudComputing #Serverless,BigData #Analytics,#BigData #Analytics,AI,BigData
41,18886,41_lifestyle_fashion_love_like,"['lifestyle', 'fashion', 'love', 'like', 'artdesign', 'thats', 'looks', 'space', 'photo', 'got']",,0.676470588235294,0.34,Neutral,Positive,Negative,Neutral,Admiration,Joy,Informational,Opinion_sharing,Promotional,#AI,#MachineLearning,#IoT,#ArtificialIntelligence,#CX,😂,😄,🙏,😉,™,AI,Amazon,Google,Apple,🙏
42,7689,42_dear_thank_wish_weekend,"['dear', 'thank', 'wish', 'weekend', 'happynewweek', 'happyweekend', 'happy', 'happythursday', 'happysunday', 'great']",,0.8536585365853658,0.41,Neutral,Positive,Negative,Neutral,Admiration,Joy,Informational,Promotional,Opinion_sharing,#AI,#MachineLearning,#DataScience,#BigData,#IoT,💫,🙏,🎥,👍,🌻,BigData,#MachineLearning #,AI,🙏,Apple
43,15564,43_watch_fun_nice_love,"['watch', 'fun', 'nice', 'love', 'im', 'amazing', 'good', 'time', 'just', 'awesome']",,0.6857142857142857,0.35,Neutral,Positive,Negative,Neutral,Admiration,Joy,Informational,Opinion_sharing,Promotional,#AI,#MachineLearning,#IoT,#DigitalTransformation,#CX,😂,😄,👍,🙏,😉,AI,Google,Apple,CustomerExperience,BigData
44,10741,44_customer_customers_service_ucaas,"['customer', 'customers', 'service', 'ucaas', 'business', 'contactcenter', 'ccaas', 'cx', 'digital', 'experience']",,0.7,0.297029702970297,Neutral,Positive,Negative,Neutral,Admiration,Joy,Informational,Opinion_sharing,Promotional,#AI,#IoT,#MachineLearning,#DataScience,#DigitalTransformation,😂,🙏,💡,™,😉,AI,GoLang #CloudComputing #Serverless,BigData #Analytics,BigData,#BigData #Analytics
45,8534,45_wordle_46_36_merci,"['wordle', '46', '36', 'merci', 'nfttwitter', '56', 'jean', 'toi', 'bonne', 'earthshottv']",,0.5714285714285714,0.42,Neutral,Positive,Negative,Neutral,Admiration,Joy,Opinion_sharing,Question_query,Informational,#AI,#DataScience,#MachineLearning,#BigData,#IoT,😂,😉,😅,🙏,😄,AI,BigData,SA,🙏,Apple
46,9194,46_ai_artificialintelligence_machinelearning_cc,"['ai', 'artificialintelligence', 'machinelearning', 'cc', 'artificial', 'intelligence', 'deeplearning', 'robots', '100daysofcode', 'nlp']",,0.72,0.25,Neutral,Positive,Negative,Neutral,Admiration,Joy,Informational,Promotional,Opinion_sharing,#AI,#MachineLearning,#DataScience,#BigData,#IoT,💥,🙏,😄,😂,👏,BigData,#MachineLearning #,AI,Forbes,GoLang #CloudComputing #Serverless
47,8499,47_cybersecurity_covid19_ransomware_cybercrime,"['cybersecurity', 'covid19', 'ransomware', 'cybercrime', 'breach', 'coronavirus', 'ukraine', 'war', 'cyber', 'infosec']",,0.7352941176470589,0.3434343434343434,Neutral,Positive,Negative,Neutral,Admiration,Joy,Informational,Opinion_sharing,Promotional,#AI,#MachineLearning,#DataScience,#BigData,#IoT,🙏,😄,😂,👇,👍,AI,🙏,Apple,Google,Amazon
48,12062,48_people_dont_media_public,"['people', 'dont', 'media', 'public', 'problem', 'trust', 'just', 'point', 'think', 'political']",,0.675,0.4,Neutral,Positive,Negative,Neutral,Admiration,Joy,Opinion_sharing,Informational,Question_query,#AI,#MachineLearning,#IoT,#5G,#DigitalTransformation,🙏,😎,😉,😂,😄,AI,Apple,🙏,Friend,Amazon
49,11105,49_book_mathematics_work_learning,"['book', 'mathematics', 'work', 'learning', 'art', 'interesting', 'creative', 'ideas', 'future', 'life']",,0.6944444444444444,0.36,Neutral,Positive,Negative,Neutral,Admiration,Joy,Informational,Opinion_sharing,Promotional,#AI,#MachineLearning,#DataScience,#IoT,#5G,😄,🙏,📲,📱,😉,AI,BigData,🙏,Apple,Amazon
50,18708,50_just_im_said_youre,"['just', 'im', 'said', 'youre', 'think', 'dont', 'like', 'did', 'yes', 'good']",,0.6756756756756757,0.37,Neutral,Positive,Negative,Neutral,Admiration,Joy,Opinion_sharing,Informational,Promotional,#AI,#MachineLearning,#IoT,#5G,#DigitalTransformation,😂,😄,😉,👍,🙏,AI,🙏,Amazon,Apple,Google
51,10485,51_billion_crypto_market_2022,"['billion', 'crypto', 'market', '2022', 'bitcoin', 'tesla', 'year', 'funding', '2021', 'years']",,0.7096774193548387,0.31,Neutral,Positive,Negative,Neutral,Admiration,Joy,Informational,Opinion_sharing,Promotional,#AI,#DigitalTransformation,#MachineLearning,#IoT,#DataScience,🙏,👍,™,💡,😄,AI,🙏,BigData,Apple,Google
52,11143,52_robotics_robot_artificialintelligence_mi,"['robotics', 'robot', 'artificialintelligence', 'mi', 'cc', 'ai', 'automation', 'innovation', 'robots', 'rpa']",,0.7083333333333334,0.24242424242424246,Neutral,Positive,Negative,Neutral,Admiration,Joy,Informational,Promotional,Opinion_sharing,#AI,#ArtificialIntelligence,#BigData,#MachineLearning,#DataScience,🙏,💥,💫,😄,👏,AI,BigData,Forbes,SocialMedia,#MachineLearning #
53,13029,53_fintech_crypto_cryptocurrency_regtech,"['fintech', 'crypto', 'cryptocurrency', 'regtech', 'regulation', 'banking', 'bitcoin', 'blockchain', 'cybersecurity', 'payments']",,0.7777777777777778,0.36000000000000004,Neutral,Positive,Negative,Neutral,Admiration,Joy,Informational,Opinion_sharing,Promotional,#AI,#MachineLearning,#IoT,#DigitalTransformation,#DataScience,🙏,👍,😂,😄,™,AI,Machine Learning News,Digital Transformation,Innovation & Analytics News,Todays CIO News
54,10764,54_cx_cio_business_digitaltransformation,"['cx', 'cio', 'business', 'digitaltransformation', 'digital', 'customer', 'data', 'enterprise', 'fintech', 'cloud']",,0.7333333333333334,0.30303030303030304,Neutral,Positive,Negative,Neutral,Admiration,Joy,Informational,Opinion_sharing,Promotional,#AI,#IoT,#DigitalTransformation,#MachineLearning,#DataScience,🙏,😄,😂,👍,👏,AI,GoLang #CloudComputing #Serverless,BigData #Analytics,BigData,#BigData #Analytics
55,14546,55_thank_dear_thanks_happy,"['thank', 'dear', 'thanks', 'happy', 'welcome', 'weekend', 'great', 'sharing', 'friend', 'wonderful']",,0.8,0.35000000000000003,Neutral,Positive,Negative,Neutral,Admiration,Joy,Informational,Promotional,Opinion_sharing,#AI,#DataScience,#MachineLearning,#BigData,#IoT,🙏,💫,🎥,🌟,👍,BigData,#MachineLearning #,AI,🙏,PDF
56,10858,56_technology_digital_tech_metaverse,"['technology', 'digital', 'tech', 'metaverse', 'trends', 'innovation', 'digitaltransformation', 'blockchain', 'web3', 'future']",,0.71875,0.32,Neutral,Positive,Negative,Neutral,Admiration,Joy,Informational,Opinion_sharing,Promotional,#AI,#IoT,#DigitalTransformation,#MachineLearning,#DataScience,🙏,😄,👍,😂,😉,AI,BigData,BigData #Analytics,#MachineLearning #,GoLang #CloudComputing #Serverless
57,9611,57_cx_customer_customerexperience_articles,"['cx', 'customer', 'customerexperience', 'articles', 'experience', 'custserv', 'customerservice', 'journey', 'service', 'compilation']",,0.6428571428571428,0.28,Neutral,Positive,Negative,Neutral,Admiration,Joy,Informational,Opinion_sharing,Question_query,#AI,#DigitalTransformation,#MachineLearning,#IoT,#5G,™,👍,🙏,😂,😉,AI,WomenInTech,Apple,IoT,Google
58,14515,58_people_dont_things_think,"['people', 'dont', 'things', 'think', 'know', 'better', 'just', 'true', 'like', 'say']",,0.6666666666666666,0.39,Neutral,Positive,Negative,Neutral,Admiration,Joy,Opinion_sharing,Informational,Promotional,#AI,#IoT,#MachineLearning,#5G,#DigitalTransformation,📱,📲,🙏,😄,😉,AI,🙏,BigData,Apple,Trump
59,14138,59_customer_cx_customers_customerexperience,"['customer', 'cx', 'customers', 'customerexperience', 'customerservice', 'experience', 'service', 'custserv', 'journey', 'custexp']",,0.64,0.25,Neutral,Positive,Negative,Neutral,Admiration,Joy,Informational,Opinion_sharing,Promotional,#AI,#MachineLearning,#DigitalTransformation,#IoT,#5G,™,🙏,👍,😄,😉,AI,WomenInTech,Apple,IoT,CC:@WomenInTech
60,15675,60_ar_vr_tech_reality,"['ar', 'vr', 'tech', 'reality', 'virtual', 'augmented', 'video', 'augmentedreality', 'display', 'audio']",,0.696969696969697,0.32673267326732675,Neutral,Positive,Negative,Neutral,Admiration,Joy,Informational,Opinion_sharing,Promotional,#AI,#MachineLearning,#DataScience,#IoT,#BigData,🙏,😂,💫,👍,😄,AI,BigData,🙏,#MachineLearning #,Google
61,14259,61_earth_years_space_mars,"['earth', 'years', 'space', 'mars', 'moon', 'asteroid', 'planet', 'time', 'year', 'going']",,0.71875,0.32,Neutral,Positive,Negative,Neutral,Admiration,Joy,Informational,Opinion_sharing,Promotional,#AI,#MachineLearning,#tech,#DataScience,#BigData,😂,😄,™,🙏,👉,AI,BigData,Apple,Google,Amazon
62,9847,62_future_futureofwork_innovation_technology,"['future', 'futureofwork', 'innovation', 'technology', 'world', 'metaverse', 'tech', 'keynotespeaker', 'futurist', 'new']",,0.6666666666666666,0.29702970297029707,Neutral,Positive,Negative,Neutral,Admiration,Joy,Informational,Opinion_sharing,Promotional,#AI,#MachineLearning,#DataScience,#IoT,#DigitalTransformation,😄,🙏,👍,👇,😂,AI,BigData,Google,#MachineLearning #,Amazon
63,8345,63_ai_intelligence_human_humans,"['ai', 'intelligence', 'human', 'humans', 'deeplearning', 'artificial', 'cc', 'machinelearning', 'learning', 'nlp']",,0.689655172413793,0.292929292929293,Neutral,Positive,Negative,Neutral,Admiration,Joy,Informational,Opinion_sharing,Promotional,#AI,#MachineLearning,#IoT,#DataScience,#BigData,💥,👉,🙏,😉,📲,BigData,AI,#MachineLearning #,Forbes,BigData #Analytics
